City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
McAllen TX,122.3,4025.9
McKinney TX,165.8,2017.3
Mesquite TX,305.2,4340.1
Miami Gardens FL,837.4,4303
Midland TX,344.2,2601.2
Miramar FL,426.2,2368.3
Modesto CA,777,5510.4
Montgomery AL,395.7,5768.9
Moreno Valley CA,353.6,3190.7
Murfreesboro TN,624.5,3568.9
Murrieta CA,65.5,1605.2
Naperville IL,83.3,1431
New Haven CT,1439.2,5014.9
Newport News VA,415.2,3151
Norfolk VA,543,4643.6
Norman OK,151.8,2676.2
North Charleston SC,732.1,5718.4
North Las Vegas NV,763.9,2494.1
Norwalk CA,403.6,2431.6
Oceanside CA,425.4,2506.1
Odessa TX,1064.3,3586.6
Olathe KS,148.6,1929.1
Ontario CA,318,3010.7
Orange CA,96.6,2028
Orlando FL,1017.4,6613.8
Overland Park KS,160.9,2303.4
Oxnard CA,298.8,2017.4
Palm Bay FL,528.5,2348.2
Palmdale CA,522.9,2184.9
Pasadena CA,310.7,2424.3
Pasadena TX,402.4,3629.6
Paterson NJ,1054.7,3153.3
Pembroke Pines FL,149,2653
Peoria AZ,186.9,2951.1
Peoria IL,797.1,4356
Pomona CA,673.9,3336.4
Pompano Beach FL,1029.1,5399.8
Port St. Lucie FL,234.5,1799.7
Providence RI,636.9,4484.4
Provo UT,127.5,2109
Pueblo CO,730.8,6445.7
Rancho Cucamonga CA,189.6,2576.9
Reno NV,517.2,3220.6
Rialto CA,501,3514.9
Richardson TX,165.6,2909
Richmond CA,1092.5,4718.1
Richmond VA,648.7,4380.7
Rochester MN,,2505.9
Rochester NY,976,5322.3
Rockford IL,1367.8,4995.6
Roseville CA,238.4,2675.4
Round Rock TX,132.7,2481.4
Salem OR,358.4,4277.6
Salinas CA,665.1,3177.2
Salt Lake City UT,675.4,7459.5
San Bernardino CA,940.5,4888.7
Santa Clara CA,185.2,2769.8
Santa Clarita CA,190.8,1529.7
Santa Maria CA,681.8,2401
Santa Rosa CA,372.2,2234.6
Savannah-Chatham Metropolitan GA,379.6,3599.5
Scottsdale AZ,147.2,2706.4
Shreveport LA,766.7,4878.2
Simi Valley CA,111.3,1512.4
Sioux Falls SD,398.5,3183.4
South Bend IN,613.4,4760.4
Spokane WA,645.3,8730.1
Springfield IL,971.6,5929.3
Springfield MA,1039.4,4545.7
Springfield MO,991.5,9010.8
St. Petersburg FL,901.6,5013.7
Stamford CT,282.6,1555.5
Sterling Heights MI,178.5,1983.5
Sunnyvale CA,118.4,1779.2
Surprise AZ,134.1,2059.7
Syracuse NY,940.2,4095
Tacoma WA,797,6349
Tallahassee FL,853,4646.3
Temecula CA,93.8,2359.4
Tempe AZ,528.7,4711.5
Thornton CO,269.7,2645.5
Thousand Oaks CA,121.5,1422.9
Topeka KS,599.2,5309.6
Torrance CA,128.5,1819.4
Tyler TX,535.8,4504.2
Vallejo CA,744.6,4956.2
Vancouver WA,355.8,3893.6
Ventura CA,285.7,3580.3
Victorville CA,569.6,3762
Visalia CA,426.3,4334.5
Waco TX,493.8,4544.5
Warren MI,532.2,2819
Waterbury CT,296.9,4265.7
West Covina CA,260.5,2989
West Jordan UT,185.8,2769.3
West Palm Beach FL,801.6,5276.2
West Valley UT,447.9,4164.5
Westminster CO,259.5,2585.4
Wichita Falls TX,450.3,4759.8
Wilmington NC,565.1,5403.7
Winston-Salem NC,663,5838
Woodbridge NJ,121.3,1955
Worcester MA,959.4,3510
Yonkers NY,570.9,1292.4
Alameda CA,212,2507.1
Albany GA,1035.5,6369.7
Albany NY,816.8,4420.1
Alhambra CA,176.4,2271.8
Allen TX,61.9,1612.9
Alpharetta GA,70,2048.9
Apple Valley CA,312,2646
Appleton WI,290.1,1895.7
Arlington Heights IL,54.3,1296
Asheville NC,495.9,5756.5
Auburn WA,343.4,5518
Avondale AZ,297.3,4698.6
Baldwin Park CA,340.5,2068
Bayonne NJ,206.1,1275.8
Baytown TX,331.9,4950.3
Beaverton OR,152.8,1594.1
Bellflower CA,390.3,2313.6
Bellingham WA,266.1,4808.6
Bensalem PA,131.9,3634.7
Bethlehem PA,315.7,2584
Bismarck ND,340.1,3034.2
Bloomington IL,482.4,2330.5
Bloomington IN,297.7,3973.7
Bloomington MN,#N/A,3796.9
Boca Raton FL,189.6,2956.3
Bolingbrook IL,243.8,1542.6
Bossier City LA,373.9,3858
Boynton Beach FL,570.5,4272.4
Brick NJ,106.8,1642.3
Bristol CT,153.2,2620
Brockton MA,1143.4,3227.3
Brooklyn Park MN,#N/A,3399
Bryan TX,397.6,3151.2
Buena Park CA,249.7,2504.1
Burnsville MN,#N/A,2956.6
Camarillo CA,91.7,1436
Camden NJ,2566.1,5159.3
Canton OH,999.8,6476.1
Carmel IN,13.4,987.5
Carson CA,557.7,2905.6
Champaign IL,911.1,3319.8
Cheektowaga Town NY,221,3562.9
Cherry Hill NJ,157,3152.6
Cheyenne WY,229.6,3413.2
Chico CA,323.8,2630.6
Chino Hills CA,83.5,1247.5
Chino CA,364.7,2651.9
Cicero IL,449.6,2634.6
Citrus Heights CA,386.5,3662.2
Clarkstown Town NY,94.8,1884.4
Clifton NJ,217.3,1864.6
Clinton MI,300,2298.9
Clovis CA,223.9,4114.4
College Station TX,508.5,2483.2
Colonie Town NY,59.1,2719.2
Compton CA,1242.1,2446.5
Conway AR,415.2,4182.9
Coon Rapids MN,#N/A,3077
Council Bluffs IA,1186.5,6841.2
Cranston RI,161.9,2375.6
Danbury CT,133.1,1907.4
Davie FL,388.6,3657.6
Davis CA,142.6,2215.3
Daytona Beach FL,1155.8,6254.3
Dearborn MI,331.2,3376
Decatur IL,462.4,3215.5
Deerfield Beach FL,464.9,3174.4
Delray Beach FL,736.6,4754.7
Dothan AL,481.3,4427
Duluth MN,#N/A,4446.6
Eagan MN,#N/A,2341.2
East Orange NJ,562.8,1801.1
Eden Prairie MN,#N/A,1551.9
Edinburg TX,444.4,5890.6
Edmond OK,101.8,2012.6
Encinitas CA,246.1,2126
Evanston IL,304.7,2745.3
Fairfield CT,54.9,2163.9
Fall River MA,1062.9,3014.9
Farmington Hills MI,92.1,1573.8
Fayetteville AR,514.7,4036.5
Federal Way WA,321.8,5551.3
Fishers IN,17.6,1034.3
Flagstaff AZ,393.2,4253.1
Flower Mound TX,30.9,827.7
Folsom CA,115.4,1733.2
Fort Myers FL,1171.2,3644
Fort Smith AR,785.3,5453.6
Framingham MA,221.2,1778.6
Franklin NJ,114.5,1828.7
Franklin TN,143.4,1593
Frederick MD,570.3,2842.5
Gary IN,904.7,5560.9
Gastonia NC,618.3,5842.1
Gloucester NJ,320.5,2373
Goodyear AZ,153.7,2646.5
Greece Town NY,133.3,2641.8
Greeley CO,442.5,3368.4
Greenville NC,523.8,4426.2
Greenville SC,835.1,5287.7
Greenwich CT,37.1,594
Hamden CT,527.6,2264.4
Hamilton NJ,211,2219.7
Hamilton OH,592.4,7505.9
Hammond IN,820.9,4256.3
Harlingen TX,403.8,4875.4
Haverhill MA,675.3,2324.8
Hawthorne CA,743.4,2545.2
Hemet CA,499.9,4292.4
Hesperia CA,435.1,2708.3
Hillsboro OR,191.2,2288.6
Homestead FL,1664.4,5122.2
Hoover AL,104.5,2647.8
Indio CA,573.2,3555.4
Iowa City IA,267.3,2661.3
Jackson TN,1478.9,4938.8
Janesville WI,281.3,3870.1
Johns Creek GA,53.7,657.2
Johnson City TN,495.8,4468.3
Jonesboro AR,428.7,4588.2
Jurupa Valley CA,319.7,3252.8
Kalamazoo MI,878.4,4171.3
Kenner LA,207.1,3738.6
Kennewick WA,297.5,3081.7
Kenosha WI,274,2999.2
Kissimmee FL,905.4,5004.6
La Habra CA,238.1,1862.9
Lafayette IN,597.1,4831.3
Laguna Niguel CA,72.8,1183.9
Lake Forest CA,135.2,1374.3
Lakeland FL,465.3,5219.4
Lakewood NJ,117.3,1176.6
Lakewood CA,278.9,2533.7
Lancaster PA,773,4820.9
Largo FL,500.1,3956.4
Las Cruces NM,394.7,4426.8
Lauderhill FL,850.2,4249.3
Lawrence KS,414.9,4481.9
Lawrence MA,1010.8,2530.2
Lawton OK,931.4,5272.3
Layton UT,121,2748.5
League City TX,91.7,2013.3
Lee's Summit MO,118.7,2316
Livermore CA,363.5,2180
Livonia MI,152,2211.9
Lodi CA,439.4,4078.9
Longmont CO,211.4,2439.1
Longview TX,560.8,5102.1
