City State,"Violent Crime Rate Per 100,000 People","Property Crime Rate Per 100,000 People"
Oak Lawn IL,144,1996
Oakland Park FL,784.5,5290.3
Ocala FL,654.6,5406
Olympia WA,314.3,4368.4
Orland Park IL,28,2382.4
Oro Valley AZ,50.3,1624.9
Owensboro KY,216.4,4360.1
Palm Beach Gardens FL,151,3188.5
Palm Desert CA,207.9,4642.1
Palm Springs CA,656.6,4852.6
Paramount CA,443.7,2792.9
Parker CO,125.5,955.2
Parsippany NJ,72.5,922.1
Peabody MA,232.2,2114.6
Penn Hills PA,308.3,1979.4
Pensacola FL,894,5730.6
Perth Amboy NJ,453.8,2376.1
Petaluma CA,283.1,1393.3
Pflugerville TX,123.3,1620.8
Pine Bluff AR,1288.1,6825.8
Pinellas Park FL,457.6,5509.7
Piscataway NJ,113.1,929.4
Pittsfield MA,425.7,2598.7
Placentia CA,206.7,1749.8
Plainfield NJ,711.3,2870.9
Pocatello ID,255.5,2721.9
Port Arthur TX,628.4,4394.9
Port Orange FL,108.2,2493.9
Portage MI,162.9,3521.4
Porterville CA,360.1,3253.9
Poughkeepsie NY,126.5,3248.4
Poway CA,192,1141.6
Prescott AZ,415.6,2731.3
Quincy IL,462.1,3205.2
Rancho Palos Verdes CA,82.7,1176.3
Rancho Santa Margarita CA,55.1,650.5
Redmond WA,64.6,2137.3
Revere MA,508.3,2352.3
Richland WA,163.8,2537.1
Rocklin CA,83.2,1557.8
Rocky Mount NC,1291.3,5832.6
Rogers AR,349.7,3620.3
Rohnert Park CA,460.3,1845.8
Rosemead CA,261.6,1670.4
Roseville MI,478.9,4082.3
Roswell NM,629.3,5378.1
Rowlett TX,121.7,1726.6
Royal Oak MI,124.9,1748.5
Saginaw MI,209.1,2017.6
Saginaw MI,2362.1,3442.8
Salem MA,378.3,2272.5
Salina KS,334.3,4886.3
Sammamish WA,33.9,727.3
San Bruno CA,202.4,2288
San Gabriel CA,218,1362.2
San Jacinto CA,300.2,3240.8
San Luis Obispo CA,259,4289.7
San Marcos TX,346.1,3285.9
San Rafael CA,324.5,3032.9
Sanford FL,590.9,5422.4
Santee CA,281.5,2027.4
Sarasota FL,801.1,5460.4
Sayreville NJ,88.1,1341.8
Sheboygan WI,345.1,3079.5
Shelton CT,54.9,1078.3
Shoreline WA,181.4,3030.7
Sierra Vista AZ,278.9,3306
Smyrna GA,306.5,2649.6
Smyrna TN,256.8,2390.8
South Brunswick NJ,77.5,1180.6
South Jordan UT,44.2,1976.1
Southampton Town NY,127.3,1999.8
Southaven MS,292.4,2653.3
Southington CT,64.8,1737.7
St. Clair Shores MI,252.3,1980.2
St. Louis Park MN,#N/A,3226.8
St. Peters MO,223,2602.9
State College PA,92.9,1380.2
Stillwater OK,261.2,3175
Stratford CT,199.8,2715.2
Streamwood IL,84.9,1755.3
Strongsville OH,29.3,1792.9
Summerville SC,183.6,2917.6
Sumter SC,985.1,5248
Taunton MA,474.9,1507.8
Teaneck NJ,139.2,1456.6
Texas City TX,318.6,3660
Tigard OR,135.7,3478.6
Tinley Park IL,75.4,1472.1
Titusville FL,662.6,3977.6
Tonawanda Town NY,202.1,1834.1
Troy NY,664.8,4707.2
Twin Falls ID,376.7,2817.3
Union OH,76.9,3529.6
Union NJ,138,1864.3
Urbana IL,356.3,3474
Urbandale IA,140.9,1700.2
Valdosta GA,438,4104.8
Wallingford CT,33.2,2022.9
Warren OH,674.6,4860.4
Washington NJ,136.9,2327.3
Watsonville CA,484,3044.3
Wauwatosa WI,166.9,4120
Wayne NJ,72.6,2228
Webster Town and Village NY,60.6,1080.7
Wellington FL,248.5,2493.8
West Chester OH,91.7,2234.4
West Des Moines IA,163.4,3139.3
West Haven CT,573.5,2601.3
West New York NJ,388.1,1451.3
West Orange NJ,146.2,1406.3
West Sacramento CA,383.8,2945.5
West Seneca Town NY,115.8,1875.2
Westfield MA,183.2,1856.1
Weymouth MA,344.3,1474.4
Wheaton IL,22.5,1088.9
White Plains NY,159.8,2407.6
Wilkes-Barre PA,414.1,2992.9
Wilson NC,526.3,4662
Woodland CA,314.3,3080.4
Woonsocket RI,534.7,3059.8
Wylie TX,64.2,1404.5
York PA,1335.5,3599.1
Yucaipa CA,226.1,1793.9
